job_title,Industry,experience_level,Age,employment_type,work_year, salary_in_usd ,company_location,company_size
Machine Learning Engineer,IT,Senior-level,26,Full-time,2023," $2,89,076.00 ",United States,Medium
ML Engineer,IT,Senior-level,39,Full-time,2023," $2,89,076.00 ",United States,Medium
Data Engineer,IT,Senior-level,53,Full-time,2023," $2,88,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,55,Full-time,2023," $2,88,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,47,Full-time,2023," $2,87,700.00 ",United States,Large
Research Scientist,IT,Senior-level,52,Full-time,2023," $2,87,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,32,Full-time,2023," $2,87,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,56,Full-time,2023," $2,87,500.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,52,Full-time,2023," $2,87,500.00 ",Australia,Medium
Data Engineer,IT,Senior-level,54,Full-time,2023," $2,86,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,50,Full-time,2023," $2,86,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,60,Full-time,2023," $2,85,800.00 ",United States,Medium
Data Scientist,IT,Senior-level,21,Full-time,2023," $2,85,800.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,27,Full-time,2023," $2,85,000.00 ",United States,Large
Data Scientist,IT,Senior-level,63,Full-time,2023," $2,85,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,65,Full-time,2023," $2,85,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,57,Full-time,2023," $2,85,000.00 ",United States,Medium
Data Architect,IT,Senior-level,38,Full-time,2023," $2,85,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,58,Full-time,2023," $2,85,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,27,Full-time,2023," $2,84,310.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,58,Full-time,2023," $2,84,310.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,18,Full-time,2023," $2,84,050.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,63,Full-time,2023," $2,84,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,53,Full-time,2023," $2,84,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,58,Full-time,2024," $2,83,780.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,35,Full-time,2023," $2,83,780.00 ",United States,Medium
Deep Learning Engineer,IT,Senior-level,40,Full-time,2023," $2,83,780.00 ",United States,Medium
Data Engineer,IT,Senior-level,30,Full-time,2023," $2,83,780.00 ",United States,Medium
Data Architect,IT,Senior-level,33,Full-time,2024," $2,83,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,58,Full-time,2023," $2,83,200.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,45,Full-time,2023," $2,83,200.00 ",United States,Medium
Research Scientist,IT,Senior-level,37,Full-time,2023," $2,83,050.00 ",United States,Medium
Data Scientist,IT,Senior-level,39,Full-time,2023," $2,83,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,62,Full-time,2024," $2,82,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,42,Full-time,2023," $2,82,000.00 ",United States,Medium
Applied Scientist,IT,Entry-level,50,Full-time,2023," $2,81,700.00 ",United States,Medium
Research Engineer,IT,Senior-level,24,Full-time,2023," $2,81,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,41,Full-time,2023," $2,81,000.00 ",Canada,Medium
Data Scientist,IT,Senior-level,65,Full-time,2023," $2,80,889.00 ",United States,Medium
Data Scientist,IT,Senior-level,31,Full-time,2023," $2,80,830.00 ",Canada,Medium
Machine Learning Engineer,IT,Mid-level,40,Full-time,2023," $2,80,700.00 ",United States,Medium
Data Engineer,IT,Senior-level,30,Full-time,2023," $2,80,600.00 ",United States,Medium
Data Architect,IT,Senior-level,52,Full-time,2023," $2,80,100.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,62,Full-time,2023," $2,80,000.00 ",United States,Medium
Data Science,IT,Mid-level,41,Full-time,2023," $2,80,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,21,Full-time,2023," $2,80,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,59,Full-time,2023," $2,80,000.00 ",United States,Medium
Data Analyst,IT,Senior-level,22,Full-time,2023," $2,80,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,60,Full-time,2023," $2,80,000.00 ",United States,Medium
Computer Vision Engineer,IT,Senior-level,19,Full-time,2023," $2,80,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,41,Full-time,2023," $2,80,000.00 ",United Kingdom,Large
Research Scientist,IT,Senior-level,57,Full-time,2024," $2,78,700.00 ",United States,Medium
Research Scientist,IT,Senior-level,35,Full-time,2023," $2,78,700.00 ",United States,Medium
Data Scientist,IT,Senior-level,45,Full-time,2023," $2,78,700.00 ",United States,Medium
Data Engineer,IT,Senior-level,45,Full-time,2023," $2,78,300.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,63,Full-time,2023," $2,78,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,38,Full-time,2023," $2,77,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,60,Full-time,2023," $2,77,300.00 ",United Kingdom,Medium
Data Scientist,IT,Senior-level,44,Full-time,2023," $2,77,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,28,Full-time,2023," $2,76,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,46,Full-time,2023," $2,76,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,36,Full-time,2023," $2,76,000.00 ",United States,Medium
Lead Data Engineer,IT,Senior-level,39,Full-time,2021," $2,76,000.00 ",United States,Large
Data Scientist,IT,Senior-level,53,Full-time,2023," $2,75,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,62,Full-time,2023," $2,75,300.00 ",United States,Medium
ML Engineer,IT,Senior-level,45,Full-time,2023," $2,75,300.00 ",United States,Medium
Data Engineer,IT,Senior-level,45,Full-time,2023," $2,75,300.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,58,Full-time,2023," $2,75,300.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,39,Full-time,2023," $2,75,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,51,Full-time,2023," $2,75,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,62,Full-time,2023," $2,75,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,32,Full-time,2023," $2,75,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,55,Full-time,2023," $2,75,000.00 ",United States,Medium
NLP Engineer,IT,Senior-level,63,Full-time,2023," $2,75,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,56,Full-time,2023," $2,75,000.00 ",Germany,Medium
Research Engineer,IT,Senior-level,36,Full-time,2023," $2,75,000.00 ",Germany,Medium
Machine Learning Engineer,IT,Senior-level,34,Full-time,2023," $2,75,000.00 ",Germany,Medium
Data Engineer,IT,Mid-level,44,Full-time,2023," $2,75,000.00 ",Canada,Medium
Data Engineer,IT,Senior-level,24,Full-time,2022," $2,75,000.00 ",United States,Medium
AI Developer,IT,Senior-level,31,Full-time,2022," $2,75,000.00 ",Canada,Small
Data Architect,IT,Senior-level,38,Full-time,2023," $2,74,450.00 ",United States,Medium
Data Scientist,IT,Senior-level,53,Full-time,2023," $2,73,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,58,Full-time,2023," $2,73,400.00 ",United States,Medium
Research Scientist,IT,Senior-level,38,Full-time,2023," $2,73,400.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,49,Full-time,2023," $2,73,400.00 ",United States,Medium
Research Engineer,IT,Senior-level,61,Full-time,2023," $2,73,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,37,Full-time,2023," $2,72,550.00 ",United States,Medium
Data Scientist,IT,Senior-level,28,Full-time,2022," $2,72,550.00 ",United States,Medium
Data Scientist,IT,Senior-level,27,Full-time,2023," $2,72,400.00 ",United States,Medium
Data Science Manager,IT,Executive-level,43,Full-time,2023," $2,72,400.00 ",United States,Large
Data Science Manager,IT,Senior-level,34,Full-time,2023," $2,72,400.00 ",United States,Large
Data Scientist,IT,Senior-level,24,Full-time,2023," $2,72,300.00 ",United States,Medium
Data Scientist,IT,Senior-level,53,Full-time,2023," $2,72,290.00 ",United States,Medium
Data Science Lead,IT,Senior-level,36,Full-time,2023," $2,72,000.00 ",United States,Medium
Machine Learning Software Engineer,IT,Senior-level,27,Full-time,2023," $2,72,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,63,Full-time,2023," $2,70,703.00 ",United States,Medium
Data Science,IT,Senior-level,22,Full-time,2023," $2,70,250.00 ",United States,Medium
